date,airline,flights_scheduled,cancelled_flights,weather_condition,weekday,month,holiday_season,high_demand_month,extreme_weather_day,delayed_flights,average_flight_duration,airport_traffic,maintenance_day
1999-08-31,Airline A,170,15,storm,1,8,0,0,1,12,2.2138259007548324,4448,0
1999-09-01,Airline A,165,9,rain,2,9,1,0,1,2,3.918156873573584,1366,0
1999-09-02,Airline A,254,8,fog,3,9,0,0,0,8,2.1315835298971497,3952,0
1999-09-03,Airline A,282,15,snow,4,9,0,0,0,45,1.1204870888072564,3552,0
1999-09-04,Airline A,52,19,storm,5,9,1,0,0,23,3.4338177450016936,4025,0
1999-09-05,Airline A,152,16,clear,6,9,0,0,1,35,3.321654136578417,3170,0
1999-09-06,Airline A,247,17,rain,0,9,0,0,1,39,4.473888527385029,2830,0
1999-09-07,Airline A,249,14,storm,1,9,0,0,1,34,1.6616995803620829,3729,0
1999-09-08,Airline A,204,19,clear,2,9,0,0,1,3,4.793979161153246,2800,0
1999-09-09,Airline A,186,8,rain,3,9,1,0,0,7,1.2004250501092883,1815,0
1999-09-10,Airline A,111,5,fog,4,9,0,0,1,9,3.2727850978368918,1053,0
1999-09-11,Airline A,214,5,rain,5,9,0,0,0,38,4.122659875542042,4915,0
1999-09-12,Airline A,274,10,snow,6,9,0,0,0,35,4.05286585707621,2120,0
1999-09-13,Airline A,100,19,rain,0,9,0,0,1,48,3.6295696857351625,2123,0
1999-09-14,Airline A,283,2,rain,1,9,0,0,1,9,4.851097491608016,1348,0
1999-09-15,Airline A,221,11,storm,2,9,0,0,0,27,2.7155524035298564,2166,0
1999-09-16,Airline A,201,14,storm,3,9,0,0,0,37,3.6319703704098942,3422,0
1999-09-17,Airline A,256,6,fog,4,9,0,0,1,0,1.487776841354882,4707,0
1999-09-18,Airline A,108,17,snow,5,9,0,0,1,23,2.4221783938124597,4087,0
1999-09-19,Airline A,167,14,snow,6,9,0,0,0,12,1.4705200476402642,3710,0
1999-09-20,Airline A,209,7,fog,0,9,0,0,0,19,3.2719697880758734,4907,0
1999-09-21,Airline A,145,8,clear,1,9,0,0,1,41,4.533052695290285,2127,0
1999-09-22,Airline A,265,14,rain,2,9,0,0,1,44,2.4318662236610735,3722,0
1999-09-23,Airline A,282,15,storm,3,9,0,0,1,6,3.7838301393335585,2348,0
1999-09-24,Airline A,229,19,fog,4,9,0,0,0,27,2.0061138890746797,4735,0
1999-09-25,Airline A,162,2,fog,5,9,0,0,0,12,3.2252598641667434,4091,0
1999-09-26,Airline A,111,4,storm,6,9,0,0,0,10,1.578900911801043,1476,0
1999-09-27,Airline A,290,2,storm,0,9,1,0,1,6,1.0400874279799814,1440,0
1999-09-28,Airline A,235,1,clear,1,9,0,0,0,14,4.962711574196476,2305,0
1999-09-29,Airline A,101,1,snow,2,9,0,0,1,32,4.357193027932505,4395,0
1999-09-30,Airline A,61,3,storm,3,9,1,0,1,31,3.5222260579840015,2354,0
1999-10-01,Airline A,88,2,fog,4,10,0,0,0,24,2.0643242268333015,2223,0
1999-10-02,Airline A,179,8,rain,5,10,0,0,1,9,3.979908932728228,2179,0
1999-10-03,Airline A,180,11,clear,6,10,0,0,0,38,1.4084472041594438,4170,1
1999-10-04,Airline A,162,8,rain,0,10,0,0,0,20,3.5304541721063507,4691,0
1999-10-05,Airline A,150,18,rain,1,10,1,0,0,21,4.215348417043996,2597,0
1999-10-06,Airline A,162,11,snow,2,10,0,0,1,11,3.69250271482582,3522,0
1999-10-07,Airline A,233,15,rain,3,10,0,0,0,27,4.044628470580053,2995,0
1999-10-08,Airline A,130,0,fog,4,10,0,0,0,45,1.2960834607537342,1969,0
1999-10-09,Airline A,236,9,fog,5,10,0,0,0,0,1.1592784205357214,2376,0
1999-10-10,Airline A,162,9,storm,6,10,0,0,1,41,2.7262685068817496,4417,0
1999-10-11,Airline A,51,3,snow,0,10,0,0,1,37,4.166281047225009,3939,0
1999-10-12,Airline A,179,10,storm,1,10,0,0,0,49,2.2020318020461223,1786,0
1999-10-13,Airline A,269,10,rain,2,10,0,0,0,21,3.955113381432644,2379,0
1999-10-14,Airline A,103,10,fog,3,10,0,0,1,44,1.2871210289766144,3069,0
1999-10-15,Airline A,136,5,storm,4,10,0,0,0,2,3.621761916052478,1359,0
1999-10-16,Airline A,278,14,fog,5,10,0,0,0,4,4.695411054713162,3513,0
1999-10-17,Airline A,273,1,storm,6,10,0,0,1,45,2.8409447673744923,3022,0
1999-10-18,Airline A,274,2,clear,0,10,0,0,0,2,1.2297267923755602,4687,0
1999-10-19,Airline A,178,4,snow,1,10,0,0,0,37,3.883941574935064,2041,0
1999-10-20,Airline A,196,10,storm,2,10,0,0,0,27,4.53488487427019,3467,0
1999-10-21,Airline A,175,11,rain,3,10,0,0,1,48,2.4511891783319832,3468,1
1999-10-22,Airline A,179,2,fog,4,10,0,0,0,12,2.4879345272715745,4368,0
1999-10-23,Airline A,102,8,fog,5,10,0,0,0,17,2.3210974604441685,1691,0
1999-10-24,Airline A,221,2,snow,6,10,0,0,1,44,1.4250571339540237,4069,0
1999-10-25,Airline A,267,1,snow,0,10,1,0,0,43,2.2248714759129853,1084,0
1999-10-26,Airline A,209,5,clear,1,10,0,0,0,15,2.69820682692974,2322,0
1999-10-27,Airline A,247,5,storm,2,10,0,0,1,16,2.6737528858038746,1098,0
1999-10-28,Airline A,209,16,clear,3,10,1,0,1,2,1.8246120498274156,4153,0
1999-10-29,Airline A,296,7,storm,4,10,0,0,1,14,3.2219088597867107,1161,0
1999-10-30,Airline A,117,0,storm,5,10,0,0,0,16,3.1619825922426084,1000,0
1999-10-31,Airline A,232,7,snow,6,10,0,0,1,41,2.527390981128664,3450,0
1999-11-01,Airline A,252,14,snow,0,11,0,1,0,47,4.739461481215784,3105,0
1999-11-02,Airline A,233,17,storm,1,11,0,1,1,32,4.861881129264393,3811,0
1999-11-03,Airline A,172,12,snow,2,11,0,1,1,3,3.718309447610962,2165,0
1999-11-04,Airline A,194,7,storm,3,11,0,1,0,27,2.1400141407711795,2417,0
1999-11-05,Airline A,87,19,snow,4,11,0,1,1,47,4.753084717451516,3132,0
1999-11-06,Airline A,73,17,rain,5,11,1,1,0,40,3.884955141102397,4008,1
